tcell_id	h_age
21514294	1 day
21514370	1 day
21514371	1 day
21514372	1 day
21514373	1 day
21514374	1 day
21514375	1 day
21514172	1 day
21514173	1 day
21514174	1 day
21514175	1 day
21514176	1 day
21514195	1 day
21514196	1 day
21514197	1 day
21514198	1 day
21514199	1 day
21514200	1 day
21514295	1 day
21514296	1 day
21514297	1 day
21514298	1 day
21514299	1 day
21514300	1 day
21514376	1 day
21514377	1 day
21514378	1 day
21514379	1 day
21514380	1 day
21514381	1 day
21514177	1 day
21514178	1 day
21514179	1 day
21514180	1 day
21514181	1 day
21514182	1 day
21514183	1 day
21514201	1 day
21514202	1 day
21514203	1 day
21514204	1 day
21514205	1 day
21514206	1 day
21514301	1 day
21514302	1 day
21514303	1 day
21514304	1 day
21514305	1 day
21514306	1 day
21514382	1 day
21514383	1 day
21514384	1 day
21514385	1 day
21514386	1 day
21514387	1 day
21514207	1 day
21514208	1 day
21514209	1 day
21514210	1 day
21514211	1 day
21514388	1 day
21514389	1 day
21514390	1 day
21514391	1 day
21514392	1 day
21514393	1 day
21514212	1 day
21514213	1 day
21514214	1 day
21514215	1 day
21514216	1 day
21514217	1 day
21514218	1 day
21514394	1 day
21514395	1 day
21514396	1 day
21514397	1 day
21514398	1 day
21514399	1 day
21514400	1 day
21514219	1 day
21514220	1 day
21514221	1 day
21514222	1 day
21514223	1 day
21514224	1 day
21514307	1 day
21514308	1 day
21514309	1 day
21514310	1 day
21514401	1 day
21514402	1 day
21514403	1 day
21514404	1 day
21514405	1 day
21514406	1 day
21514225	1 day
21514226	1 day
21514227	1 day
21514228	1 day
21514229	1 day
21514311	1 day
21514312	1 day
21514313	1 day
21514314	1 day
21514315	1 day
21514316	1 day
21514407	1 day
21514408	1 day
21514409	1 day
21514410	1 day
21514411	1 day
21514412	1 day
21514230	1 day
21514231	1 day
21514232	1 day
21514233	1 day
21514234	1 day
21514235	1 day
21514236	1 day
21514317	1 day
21514318	1 day
21514319	1 day
21514320	1 day
21514321	1 day
21514322	1 day
21514413	1 day
21514414	1 day
21514415	1 day
21514416	1 day
21514417	1 day
21514418	1 day
21514237	1 day
21514238	1 day
21514239	1 day
21514240	1 day
21514241	1 day
21514242	1 day
21514243	1 day
21514323	1 day
21514324	1 day
21514325	1 day
21514326	1 day
21514327	1 day
21514328	1 day
21514419	1 day
21514420	1 day
21514421	1 day
21514422	1 day
21514423	1 day
21514244	1 day
21514245	1 day
21514246	1 day
21514247	1 day
21514248	1 day
21514249	1 day
21514329	1 day
21514330	1 day
21514331	1 day
21514332	1 day
21514333	1 day
21514334	1 day
21514250	1 day
21514251	1 day
21514252	1 day
21514253	1 day
21514254	1 day
21514255	1 day
21514335	1 day
21514336	1 day
21514337	1 day
21514338	1 day
21514339	1 day
21514340	1 day
21514256	1 day
21514257	1 day
21514258	1 day
21514259	1 day
21514260	1 day
21514261	1 day
21514262	1 day
21514341	1 day
21514342	1 day
21514343	1 day
21514344	1 day
21514345	1 day
21514346	1 day
21514263	1 day
21514264	1 day
21514265	1 day
21514266	1 day
21514267	1 day
21514268	1 day
21514347	1 day
21514348	1 day
21514349	1 day
21514350	1 day
21514351	1 day
21514352	1 day
21514270	1 day
21514271	1 day
21514272	1 day
21514273	1 day
21514274	1 day
21514275	1 day
21514276	1 day
21514353	1 day
21514354	1 day
21514355	1 day
21514356	1 day
21514357	1 day
21514358	1 day
21514277	1 day
21514278	1 day
21514279	1 day
21514280	1 day
21514281	1 day
21514282	1 day
