tcell_id	h_age
1941822	56-63
1941823	58-75
1941825	58-75
1941826	56-63
1941704	56-63
1941705	58-75
1941706	56-63
1941827	58-75
1941828	56-63
1941829	58-75
1941830	56-63
1941709	58-75
1941710	56-63
1941712	56-63
1941713	58-75
1941714	56-63
1941835	58-75
1941836	56-63
1941715	58-75
1941716	56-63
1941717	58-75
1941718	56-63
1941719	58-75
1941721	58-75
1941722	56-63
1941603	58-75
1941604	56-63
1941605	58-75
1941723	58-75
1941724	56-63
1941725	58-75
1941726	56-63
1941606	56-63
1941607	58-75
1941608	56-63
1941609	58-75
1941610	56-63
1941612	56-63
1941613	58-75
1941621	58-75
1941739	58-75
1941740	56-63
1941741	58-75
1941742	56-63
1941744	56-63
1941745	58-75
1941627	58-75
1941628	56-63
1941629	58-75
1941747	58-75
1941748	56-63
1941749	58-75
1941750	56-63
1941632	56-63
1941633	58-75
1941634	56-63
1941636	56-63
1941637	58-75
1941755	58-75
1941756	56-63
1941517	58-75
1941638	56-63
1941639	58-75
1941640	56-63
1941641	58-75
1941643	58-75
1941644	56-63
1941523	58-75
1941524	56-63
1941525	58-75
1941646	56-63
1941647	58-75
1941648	56-63
1941649	58-75
1941528	56-63
1941529	58-75
1941531	58-75
1941532	56-63
1941533	58-75
1941654	56-63
1941655	58-75
1941947	58-75
1941948	56-63
1941949	58-75
1941950	56-63
1941952	56-63
1941953	58-75
1941954	56-63
1941832	56-63
1941833	58-75
1941834	56-63
1941955	58-75
1941956	56-63
1941957	58-75
1941958	56-63
1941837	58-75
1941838	56-63
1941839	58-75
1941841	58-75
1941842	56-63
1941963	58-75
1941964	56-63
1941843	58-75
1941844	56-63
1941845	58-75
1941846	56-63
1941848	56-63
1941849	58-75
1941850	56-63
1941728	56-63
1941729	58-75
1941730	56-63
1941851	58-75
1941852	56-63
1941853	58-75
1941854	56-63
1941731	58-75
1941732	56-63
1941733	58-75
1941734	56-63
1941736	56-63
1941737	58-75
1941738	56-63
1941746	56-63
1941867	58-75
1941868	56-63
1941869	58-75
1941870	56-63
1941871	58-75
1941873	58-75
1941752	56-63
1941753	58-75
1941754	56-63
1941875	58-75
1941876	56-63
1941877	58-75
1941878	56-63
1941757	58-75
1941758	56-63
1941760	56-63
1941761	58-75
1941762	56-63
1941883	58-75
1941884	56-63
1941645	58-75
1941763	58-75
1941764	56-63
1941765	58-75
1941766	56-63
1941768	56-63
1941769	58-75
1941650	56-63
1941652	56-63
1941653	58-75
1941771	58-75
1941772	56-63
1941773	58-75
1941774	56-63
1941656	56-63
1941657	58-75
1941659	58-75
1941660	56-63
1941661	58-75
1941779	58-75
1941780	56-63
1941960	56-63
1941961	58-75
1941962	56-63
1941965	58-75
1941966	56-63
1941968	56-63
1941969	58-75
1941970	56-63
1941971	58-75
1941972	56-63
1941973	58-75
1941974	56-63
1941975	58-75
1941977	58-75
1941978	56-63
1941856	56-63
1941857	58-75
1941858	56-63
1941979	58-75
1941980	56-63
1941981	58-75
1941982	56-63
1941859	58-75
1941860	56-63
1941861	58-75
1941862	56-63
1941864	56-63
1941865	58-75
1941866	56-63
1941874	56-63
1941995	58-75
1941996	56-63
1941997	58-75
1941998	56-63
1942000	56-63
1942001	58-75
1941879	58-75
1941881	58-75
1941882	56-63
1942003	58-75
1942004	56-63
